iter	Passed	Remaining
474	698	771
475	699	769
476	701	768
477	702	767
478	703	765
479	705	763
480	706	762
481	707	760
482	708	758
483	710	757
484	711	755
485	712	753
486	714	752
487	715	750
488	716	748
489	717	747
490	719	745
491	720	743
492	721	742
493	723	740
494	724	738
495	725	737
496	727	735
497	728	734
498	729	732
499	730	730
500	732	729
501	733	727
502	734	726
503	736	724
504	737	722
505	738	721
506	739	719
507	741	717
508	742	716
509	743	714
510	745	712
511	746	711
512	747	709
513	748	708
514	750	706
515	751	704
516	752	703
517	753	701
518	755	699
519	756	698
520	757	696
521	759	695
522	760	693
523	761	691
524	762	690
525	764	688
526	765	686
527	766	685
528	767	683
529	769	682
530	770	680
531	771	678
532	773	677
533	774	675
534	775	674
535	776	672
536	778	671
537	779	669
538	780	667
539	782	666
540	783	664
541	784	663
542	786	661
543	787	660
544	788	658
545	790	656
546	791	655
547	792	653
548	794	652
549	795	650
550	796	649
551	798	647
552	799	646
553	800	644
554	801	642
555	803	641
556	804	639
557	805	638
558	807	636
559	808	635
560	809	633
561	810	631
562	812	630
563	813	628
564	814	627
565	816	625
566	817	624
567	818	622
568	819	621
569	821	619
570	822	617
571	823	616
572	825	615
573	826	613
574	827	611
575	829	610
576	830	608
577	831	607
578	832	605
579	833	603
580	835	602
581	836	600
582	837	599
583	838	597
584	840	596
585	841	594
586	842	593
587	844	591
588	845	590
589	846	588
590	848	586
591	849	585
592	850	583
593	852	582
594	853	580
595	854	579
596	856	577
597	857	576
598	858	574
599	858	572
600	860	571
601	861	569
602	863	568
603	864	566
604	865	565
605	866	563
606	868	562
607	869	560
608	870	559
609	872	557
610	873	556
611	874	554
612	876	553
613	877	551
614	878	550
615	880	548
616	881	547
617	882	545
618	884	544
619	885	542
620	886	541
621	888	539
622	889	538
623	891	537
624	892	535
625	894	534
626	895	532
627	897	531
628	898	529
629	900	528
630	901	527
631	902	525
632	903	524
633	905	522
634	906	521
635	907	519
636	909	518
637	910	516
638	911	515
639	913	513
640	914	512
641	915	510
642	917	509
643	918	507
644	919	506
645	920	504
646	922	503
647	923	501
648	925	500
649	926	498
650	927	497
651	929	495
652	930	494
653	931	492
654	933	491
655	934	490
656	935	488
657	937	487
658	938	485
659	939	484
660	941	482
661	942	481
662	943	479
663	944	477
664	945	476
665	947	474
666	948	473
667	949	472
668	951	470
669	952	469
670	953	467
671	955	466
672	956	464
673	957	463
674	959	461
675	960	460
676	961	458
677	963	457
678	964	455
679	965	454
680	967	452
681	968	451
682	969	450
683	970	448
684	972	447
685	973	445
686	974	444
687	976	442
688	977	441
689	978	439
690	980	438
691	981	436
692	982	435
693	984	433
694	985	432
695	986	431
696	988	429
697	989	428
698	990	426
699	992	425
700	993	423
701	994	422
702	996	420
703	997	419
704	998	418
705	1000	416
706	1001	415
707	1002	413
708	1004	412
709	1005	410
710	1006	409
711	1008	407
712	1009	406
713	1010	404
714	1012	403
715	1013	402
716	1014	400
717	1016	399
718	1017	397
719	1018	396
720	1020	394
721	1021	393
722	1022	391
723	1024	390
724	1025	388
725	1026	387
726	1028	386
727	1029	384
728	1030	383
729	1032	381
730	1033	380
731	1034	378
732	1036	377
733	1037	376
734	1038	374
735	1039	372
736	1040	371
737	1042	369
738	1043	368
739	1044	367
740	1046	365
741	1047	364
742	1048	362
743	1049	361
744	1051	359
745	1052	358
746	1053	356
747	1055	355
748	1056	354
749	1057	352
750	1059	351
751	1060	349
752	1061	348
753	1063	346
754	1064	345
755	1065	343
756	1067	342
757	1068	341
758	1069	339
759	1070	338
760	1072	336
761	1073	335
762	1075	333
763	1076	332
764	1077	331
765	1079	329
766	1080	328
767	1081	326
768	1083	325
769	1084	323
770	1085	322
771	1087	321
772	1088	319
773	1089	318
774	1090	316
775	1092	315
776	1093	313
777	1094	312
778	1096	310
779	1097	309
780	1098	308
781	1100	306
782	1101	305
783	1102	303
784	1104	302
785	1105	301
786	1106	299
787	1108	298
788	1109	296
789	1111	295
790	1112	293
791	1113	292
792	1115	291
793	1116	289
794	1117	288
795	1118	286
796	1120	285
797	1121	283
798	1122	282
799	1124	281
800	1125	279
801	1126	278
802	1128	276
803	1129	275
804	1130	273
805	1132	272
806	1133	271
807	1134	269
808	1136	268
809	1137	266
810	1138	265
811	1140	263
812	1141	262
813	1143	261
814	1144	259
815	1146	258
816	1147	257
817	1148	255
818	1150	254
819	1151	252
820	1152	251
821	1154	249
822	1155	248
823	1156	247
824	1158	245
825	1159	244
826	1160	242
827	1162	241
828	1163	240
829	1164	238
830	1166	237
831	1167	235
832	1168	234
833	1170	232
834	1171	231
835	1172	230
836	1174	228
837	1175	227
838	1176	225
839	1178	224
840	1179	223
841	1180	221
842	1182	220
843	1183	218
844	1184	217
845	1186	215
846	1187	214
847	1189	213
848	1190	211
849	1191	210
850	1193	208
851	1194	207
852	1196	206
853	1197	204
854	1198	203
855	1199	201
856	1201	200
857	1202	199
858	1203	197
859	1205	196
860	1206	194
861	1208	193
862	1209	192
863	1211	190
864	1212	189
865	1214	187
866	1215	186
867	1217	185
868	1218	183
869	1219	182
870	1222	181
871	1223	179
872	1225	178
873	1226	176
874	1227	175
875	1229	173
876	1230	172
877	1231	171
878	1233	169
879	1234	168
880	1235	166
881	1237	165
882	1238	164
883	1240	162
884	1241	161
885	1242	159
886	1243	158
887	1245	157
888	1246	155
889	1247	154
890	1249	152
891	1250	151
892	1251	149
893	1253	148
894	1254	147
895	1256	145
896	1258	144
897	1259	143
898	1261	141
899	1262	140
900	1264	138
901	1265	137
902	1266	136
903	1268	134
904	1269	133
905	1270	131
906	1272	130
907	1273	129
908	1275	127
909	1276	126
910	1277	124
911	1279	123
912	1280	122
913	1281	120
914	1283	119
915	1284	117
916	1285	116
917	1287	114
918	1288	113
919	1289	112
920	1291	110
921	1292	109
922	1294	107
923	1295	106
924	1296	105
925	1298	103
926	1299	102
927	1300	100
928	1302	99
929	1303	98
930	1305	96
931	1306	95
932	1307	93
933	1308	92
934	1310	91
935	1311	89
936	1313	88
937	1314	86
938	1315	85
939	1317	84
940	1318	82
941	1319	81
942	1321	79
943	1322	78
944	1324	77
945	1325	75
946	1326	74
947	1328	72
948	1329	71
949	1330	70
950	1332	68
951	1333	67
952	1334	65
953	1336	64
954	1337	63
955	1338	61
956	1340	60
957	1341	58
958	1342	57
959	1344	56
960	1345	54
961	1346	53
962	1348	51
963	1349	50
964	1350	48
965	1352	47
966	1353	46
967	1354	44
968	1356	43
969	1357	41
970	1359	40
971	1360	39
972	1361	37
973	1363	36
974	1364	34
975	1365	33
976	1367	32
977	1368	30
978	1370	29
979	1371	27
980	1372	26
981	1373	25
982	1375	23
983	1376	22
984	1378	20
985	1379	19
986	1380	18
987	1382	16
988	1383	15
989	1385	13
990	1386	12
991	1387	11
992	1389	9
993	1390	8
994	1391	6
995	1393	5
996	1395	4
997	1396	2
998	1398	1
999	1399	0
