iter	Logloss
0	0.6830285399
1	0.6748252251
2	0.6651836392
3	0.6566102244
4	0.6498128818
5	0.6410488793
6	0.6315402737
7	0.6236188553
8	0.6145415386
9	0.6045595159
10	0.595922608
11	0.5889519719
12	0.5807736385
13	0.5724630547
14	0.5635146106
15	0.5566691823
16	0.5501973382
17	0.5427828482
18	0.5361953963
19	0.5283746454
20	0.5214661358
21	0.5144814355
22	0.5064495331
23	0.4994175146
24	0.4927808816
25	0.4872774606
26	0.4806940104
27	0.4738474515
28	0.4663734975
29	0.4609126189
30	0.456160182
31	0.4491860758
32	0.4420871691
33	0.4366856452
34	0.4317273513
35	0.4267475411
36	0.4212212561
37	0.4156254148
38	0.4091869151
39	0.4045592853
40	0.3989034876
41	0.3942783435
42	0.3879134074
43	0.3839586084
44	0.3794200305
45	0.3745523974
46	0.3699877514
47	0.3648219981
48	0.3608932173
49	0.3556867859
50	0.3511829807
51	0.3479420398
52	0.3435460336
53	0.3389777941
54	0.3340552548
55	0.3304630874
56	0.3263180543
57	0.3227219247
58	0.3190332726
59	0.3149554013
60	0.3110491669
61	0.3069463798
62	0.3030423832
63	0.2991448148
64	0.2954431217
65	0.2917095136
66	0.2886919359
67	0.285430453
68	0.2828894589
69	0.2802059437
70	0.2772235174
71	0.2737044722
72	0.2702016418
73	0.2673630104
74	0.2642515589
75	0.261961724
76	0.2595102324
77	0.2565710767
78	0.2533893429
79	0.2509084304
80	0.2485116111
81	0.2459853407
82	0.2434962818
83	0.240872534
84	0.237730434
85	0.2351491252
86	0.2323514088
87	0.2305102291
88	0.2281526875
89	0.2253412726
90	0.2231464362
91	0.2209208169
92	0.2182203804
93	0.2162688713
94	0.2141351124
95	0.2121399275
96	0.2097080587
97	0.2073344446
98	0.2051570283
99	0.2034338696
100	0.2013214587
101	0.1991494852
102	0.1972844633
103	0.1956390455
104	0.1941085152
105	0.1925767137
106	0.1906597602
107	0.1889069695
108	0.1866946278
109	0.1849316482
110	0.1830670102
111	0.1812058189
112	0.1789684499
113	0.177316192
114	0.1754027574
115	0.1736200226
116	0.1722998986
117	0.1707241881
118	0.1693164779
119	0.1674035566
120	0.1660035642
121	0.164595593
122	0.162951239
123	0.1619132824
124	0.1608642112
125	0.1596648689
126	0.1580346072
127	0.1565782373
128	0.1552724431
129	0.1538399412
130	0.1529316472
131	0.1514886394
132	0.1500004609
133	0.1487267778
134	0.1475873643
135	0.1466921344
136	0.14549174
137	0.1443495976
138	0.1430684768
139	0.1420524199
140	0.1407848258
141	0.1395397979
142	0.1386159691
143	0.1375533474
144	0.1363240729
145	0.1353508062
146	0.1342592031
147	0.133212624
148	0.1322764162
149	0.1313918961
150	0.1301355464
151	0.1290097449
152	0.1279241531
153	0.1269204747
154	0.1258479979
155	0.1250910453
156	0.1239283724
157	0.1231723005
158	0.1221969947
159	0.1211563628
160	0.1202781656
161	0.1193300268
162	0.1183711517
163	0.1172677852
164	0.1163810388
165	0.1154538579
166	0.1146009531
167	0.1134420383
168	0.1125317893
169	0.1116834063
170	0.1110791048
171	0.1103599731
172	0.1096717111
173	0.108984111
174	0.1080142191
175	0.1072191893
176	0.1064046471
177	0.105730586
178	0.1050079459
179	0.1042100504
180	0.103459857
181	0.1028800457
182	0.1023250521
183	0.1016360537
184	0.1010030755
185	0.1005045096
186	0.09975054191
187	0.09903323625
188	0.0983803175
189	0.09765754986
190	0.09707007824
191	0.09659791042
192	0.09587197666
193	0.09523366392
194	0.09454649524
195	0.09410781624
196	0.09359455316
197	0.09288016846
198	0.09224507674
199	0.09165773623
200	0.09121837602
201	0.09069070551
202	0.08993643336
203	0.08937502191
204	0.08890369292
205	0.08859385083
206	0.08789857842
207	0.0874121138
208	0.0869296992
209	0.08632198846
210	0.08573161143
211	0.08511340421
212	0.08457359878
213	0.08387726396
214	0.08342065722
215	0.08293680941
216	0.08230804989
217	0.08193746146
218	0.08137316544
219	0.08087037665
220	0.08048210645
221	0.08007591615
222	0.07967020232
223	0.07920628481
224	0.07878689842
225	0.07842084335
226	0.07806504826
227	0.07763578062
228	0.0770831099
229	0.07664858273
230	0.07622755834
231	0.07583730236
232	0.07535482936
233	0.07483487672
234	0.0742871666
235	0.07394181615
236	0.07353714787
237	0.07316920639
238	0.07271063491
239	0.07240701452
240	0.07205494705
241	0.07168635399
242	0.07138526588
243	0.0709920779
244	0.07075085188
245	0.07029550713
246	0.06999938359
247	0.06961953928
248	0.06939563599
249	0.06915430505
250	0.06888726728
251	0.06855552867
252	0.06825766885
253	0.06790310975
254	0.06741128091
255	0.06718852368
256	0.06681777613
257	0.06652512443
258	0.06615286543
259	0.06570585172
260	0.06539445167
261	0.06519684739
262	0.06488535907
263	0.06452790141
264	0.06430032188
265	0.06405590486
266	0.06377365343
267	0.06345733116
268	0.06311651142
269	0.06280493452
270	0.06252644588
271	0.0622854032
272	0.06199235125
273	0.06173076843
274	0.06141329873
275	0.06105169475
276	0.06082589005
277	0.06049807182
278	0.06026126017
279	0.0599560589
280	0.05976071242
281	0.05956059647
282	0.05925816485
283	0.05896258389
284	0.05861566289
285	0.05834675592
286	0.05795732656
287	0.05768079089
288	0.05750040149
289	0.05727299926
290	0.05698260043
291	0.05678695725
292	0.05653256662
293	0.05624284282
294	0.05601393694
295	0.05576996996
296	0.05555175334
297	0.0553553714
298	0.05510829144
299	0.05480400013
300	0.05456846359
301	0.05429355064
302	0.05407913075
303	0.05382754874
304	0.0536267931
305	0.05338991452
306	0.05318489462
307	0.05291928181
308	0.05268236684
309	0.05247277737
310	0.05225859313
311	0.05203580414
312	0.05184442457
313	0.05166039812
314	0.05152742209
315	0.05132960357
316	0.05108286156
317	0.05079576069
318	0.05052089481
319	0.05035295227
320	0.05016318129
321	0.04990762162
322	0.0497302564
323	0.04953914152
324	0.04938277596
325	0.04913375261
326	0.04895668361
327	0.04878861288
328	0.04858933352
329	0.04840470828
330	0.04821235013
331	0.04805460101
332	0.04783999384
333	0.04761782062
334	0.04744047594
335	0.04718563011
336	0.04699914186
337	0.04683174407
338	0.04666732354
339	0.04649586071
340	0.04630868409
341	0.04611353354
342	0.04589779398
343	0.04567913185
344	0.04555701413
345	0.0454166
346	0.04520728667
347	0.04500106253
348	0.04486252284
349	0.04470197507
350	0.04458103851
351	0.04444238429
352	0.04423368118
353	0.04405708538
354	0.04386473768
355	0.04366291811
356	0.04345732227
357	0.04330798771
358	0.04317788976
359	0.04306569681
360	0.04293395902
361	0.04277175637
362	0.04259014603
363	0.04243582045
364	0.0422740727
365	0.04213273819
366	0.04197056857
367	0.04178001063
368	0.04159614978
369	0.04145555786
370	0.0413200325
371	0.04120105593
372	0.04108519601
373	0.04096171712
374	0.04085600569
375	0.04068866299
376	0.04053208524
377	0.04041062166
378	0.04026086387
379	0.04011950917
380	0.03998187183
381	0.03985371486
382	0.03970296753
383	0.03957303694
384	0.03939311393
385	0.03929908752
386	0.03918947327
387	0.03903605601
388	0.0388693476
389	0.03873749772
390	0.03860211636
391	0.03844904029
392	0.03831627358
393	0.03819006094
394	0.03807698667
395	0.03796178521
396	0.03784541558
397	0.03771457509
398	0.03757557354
399	0.0374575995
400	0.03731360171
401	0.03717532216
402	0.0370816202
403	0.03696094793
404	0.03684003777
405	0.03672049308
406	0.03662100067
407	0.03646834693
408	0.03632998861
409	0.03623472933
410	0.03614580669
411	0.03602591355
412	0.03592294642
413	0.03575748212
414	0.03564115896
415	0.03548509031
416	0.03540111584
417	0.0353030582
418	0.03518208436
419	0.03508091311
420	0.03495470692
421	0.03486564318
422	0.03474528234
423	0.03464698792
424	0.03450980768
425	0.03442883781
426	0.034319279
427	0.03417951035
428	0.03408023358
429	0.03399146584
430	0.03385414327
431	0.03374226009
432	0.03365887333
433	0.03354762768
434	0.03341781893
435	0.03330996311
436	0.03320731885
437	0.03309186809
438	0.03297881073
439	0.03288881939
440	0.03278022215
441	0.03272199344
442	0.03261012485
443	0.0324908442
444	0.03237277654
445	0.03229457555
446	0.032160523
447	0.03206333857
448	0.03194426234
449	0.03181428926
450	0.03174607504
451	0.03164568731
452	0.03155523079
453	0.0314534038
454	0.03139562578
455	0.03128873345
456	0.03116955066
457	0.03109668419
458	0.03099435465
459	0.03092672247
460	0.03085400682
461	0.03075311736
462	0.03063249229
463	0.03052976217
464	0.03046201374
465	0.03037651545
466	0.03029280216
467	0.03019115906
468	0.03011957124
469	0.03002605634
470	0.02996491914
471	0.02984797319
472	0.02976385839
473	0.02969018562
474	0.02963383977
475	0.02958148257
476	0.02949471685
477	0.02943353787
478	0.02935008244
479	0.02924087586
480	0.02914720608
481	0.029062868
482	0.02898096662
483	0.02891088971
484	0.0288398493
485	0.02874508997
486	0.02864548847
487	0.02856279876
488	0.02848213916
489	0.02837571632
490	0.02832312143
491	0.028259174
492	0.02816969158
493	0.0281027163
494	0.02799771992
495	0.027896154
496	0.0278044387
497	0.02773393522
498	0.02767638158
499	0.02759931101
500	0.02753590995
501	0.02745875252
502	0.02738728784
503	0.02731224636
504	0.02722807269
505	0.02715950772
506	0.02709210107
507	0.02697374984
508	0.02688718805
509	0.02679299507
510	0.02672922579
511	0.02666159036
512	0.02656445552
513	0.02650427219
514	0.02641887938
515	0.02634862909
516	0.026290788
517	0.02622995053
518	0.02618047345
519	0.02612712409
520	0.0260430803
521	0.02596762321
522	0.02589963953
523	0.02583309241
524	0.02576278067
525	0.02570468554
526	0.02563940645
527	0.02556729431
528	0.02552386482
529	0.02546866897
530	0.02537985947
531	0.0253032185
532	0.02524508288
533	0.02519110194
534	0.02511056022
535	0.02504362363
536	0.02497400081
537	0.02489706716
538	0.02483362763
539	0.02478211039
540	0.02470923538
541	0.02464097764
542	0.02457902884
543	0.02452083208
544	0.02446898451
545	0.02441111231
546	0.02436922607
547	0.02432580079
548	0.0242425646
549	0.02415060001
550	0.02405864981
551	0.02402110396
552	0.02395856274
553	0.02390468
554	0.02386359435
555	0.02382495739
556	0.0237447759
557	0.02367363984
558	0.02361832356
559	0.02356872931
560	0.02350858258
561	0.02345672903
562	0.02337748205
563	0.02333255494
564	0.02329159569
565	0.02325482139
566	0.02322324546
567	0.02316100187
568	0.02310598926
569	0.02304347039
570	0.02300265344
571	0.0229386837
572	0.02288141539
573	0.02283890266
574	0.02279091556
575	0.02274898907
576	0.02269864051
577	0.02263849645
578	0.02258746512
579	0.02253357511
580	0.02249624931
581	0.02245092378
582	0.02239503657
583	0.02235515112
584	0.02231803607
585	0.02225831417
586	0.02222543889
587	0.02219007369
588	0.02213529399
589	0.02210155927
590	0.02203793369
591	0.02200111397
592	0.02194766202
593	0.02187995989
594	0.02183447701
595	0.02179706477
596	0.02175360193
597	0.02168254788
598	0.02162322924
599	0.02159126682
600	0.02154804316
601	0.02151316134
602	0.02145201862
603	0.02139506009
604	0.02134972744
605	0.02131729318
606	0.02126593417
607	0.02121772668
608	0.02114366123
609	0.02106281092
610	0.02103156462
611	0.02098608583
612	0.02094671819
613	0.0208776294
614	0.02081984492
615	0.02077100598
616	0.0207183188
617	0.02066594225
618	0.02063087284
619	0.0205754586
620	0.02052309771
621	0.02048678084
622	0.02042802019
623	0.02037380431
624	0.02031550628
625	0.02025427181
626	0.02021570679
627	0.0201753021
628	0.02014024953
629	0.02010618269
630	0.02006536241
631	0.0200076722
632	0.01996712594
633	0.01992601221
634	0.01986950417
635	0.01980775871
636	0.01974637984
637	0.01971461382
638	0.01969007282
639	0.01964921809
640	0.01960387267
641	0.01956841294
642	0.01952018119
643	0.01943861723
644	0.01939558764
645	0.01935676245
646	0.01932557559
647	0.01929005591
648	0.0192442288
649	0.01918925333
650	0.01915628083
651	0.01909462187
652	0.01906168862
653	0.01899799267
654	0.01896694615
